scheduler,rate,metric,rho,p,p_holm
adaptive,2500.0,peak_cpu_pct,0.5045616012544536,0.13694196641606443,1.0
adaptive,2500.0,mean_memory_gb,-0.35757575757575755,0.31037609170568026,1.0
adaptive,2500.0,mean_buffer_occupancy_pct,-0.35757575757575755,0.31037609170568026,1.0
adaptive,2500.0,mean_batch_size,-0.03048837166595521,0.9333686465687113,1.0
adaptive,3000.0,mean_throughput_proofs_s,0.10303030303030303,0.7769984634438898,1.0
adaptive,3000.0,mean_latency_ms,0.2121212121212121,0.5563057751029299,1.0
adaptive,3000.0,median_latency_ms,0.4787878787878787,0.16152292801745594,1.0
adaptive,3000.0,p95_latency_ms,0.33333333333333326,0.3465935070873343,1.0
adaptive,3000.0,p99_latency_ms,0.24848484848484845,0.4887763045192432,1.0
adaptive,3000.0,coeff_variation,-0.1515151515151515,0.6760651759978539,1.0
adaptive,3000.0,mean_cpu_pct,-0.10303030303030303,0.7769984634438898,1.0
adaptive,3000.0,peak_cpu_pct,0.09090909090909088,0.8027717312071619,1.0
adaptive,3000.0,mean_memory_gb,-0.34545454545454546,0.3282265114713672,1.0
adaptive,3000.0,mean_buffer_occupancy_pct,-0.34545454545454546,0.3282265114713672,1.0
adaptive,3000.0,mean_batch_size,0.16001893827313254,0.6587848870210906,1.0
adaptive_batch,250.0,mean_throughput_proofs_s,-0.05454545454545454,0.8810361811618526,1.0
adaptive_batch,250.0,mean_latency_ms,-0.07878787878787878,0.8287173946974606,1.0
adaptive_batch,250.0,median_latency_ms,-0.10303030303030303,0.7769984634438898,1.0
adaptive_batch,250.0,p95_latency_ms,-0.0303030303030303,0.9337729580941466,1.0
adaptive_batch,250.0,p99_latency_ms,-0.0303030303030303,0.9337729580941466,1.0
adaptive_batch,250.0,coeff_variation,-0.12727272727272726,0.7260570147627894,1.0
adaptive_batch,250.0,mean_cpu_pct,0.4666666666666666,0.17393859716506654,1.0
adaptive_batch,250.0,peak_cpu_pct,0.10004886391691557,0.7833206927022142,1.0
adaptive_batch,250.0,mean_memory_gb,-0.07878787878787878,0.8287173946974606,1.0
adaptive_batch,250.0,mean_buffer_occupancy_pct,-0.07878787878787878,0.8287173946974606,1.0
adaptive_batch,250.0,mean_batch_size,0.35757575757575755,0.31037609170568026,1.0
adaptive_batch,500.0,mean_throughput_proofs_s,0.32121212121212117,0.36546831043867045,1.0
adaptive_batch,500.0,mean_latency_ms,0.33333333333333326,0.3465935070873343,1.0
adaptive_batch,500.0,median_latency_ms,0.41818181818181815,0.22911284098281892,1.0
